epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.6,2.17765,2.31945,1.99635,0.3917,0.36061,0.28895,0.08956,2.4132,2.14977,2.22819,0.000657895,0.000657895,0.000657895
2,575.816,2.03145,1.84318,1.80447,0.47854,0.50517,0.44637,0.1623,2.10095,2.37201,1.76728,0.00119343,0.00119343,0.00119343
3,1152.62,1.98696,1.78056,1.77016,0.43526,0.49514,0.41021,0.14277,2.17471,1.94132,1.80457,0.00159696,0.00159696,0.00159696
4,4766.41,1.96232,1.73393,1.75167,0.47441,0.52744,0.46257,0.18106,1.98286,2.11149,1.71826,0.001406,0.001406,0.001406
5,9811.8,1.93407,1.68443,1.73524,0.56226,0.56632,0.54181,0.22086,1.95985,1.68488,1.69401,0.001208,0.001208,0.001208
6,10530.8,1.90856,1.63119,1.70538,0.53017,0.54847,0.53085,0.22441,1.94049,1.74834,1.64474,0.00101,0.00101,0.00101
7,10807.3,1.88287,1.59649,1.69117,0.57718,0.56256,0.56591,0.2327,1.92287,1.66255,1.63883,0.000812,0.000812,0.000812
8,11078.6,1.8582,1.5551,1.6737,0.53959,0.57661,0.55001,0.22573,1.94391,1.64216,1.65468,0.000614,0.000614,0.000614
9,11346.2,1.8251,1.53233,1.65949,0.55962,0.56785,0.55898,0.21065,2.03322,1.63267,1.72496,0.000416,0.000416,0.000416
10,11615.3,1.80929,1.49159,1.63466,0.56527,0.60672,0.58785,0.24198,1.94423,1.55743,1.65398,0.000218,0.000218,0.000218
