epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2033.77,1.95662,        2.78941,       2.02067,0.28106,0.36972,0.21522,0.07796,2.07095,3.15796,2.25872,0.000665559,0.000665559,0.000665559
2,3927.77,1.92107,2.33329,1.98642,0.30115,0.29225,0.22347,0.08701,2.07675,2.46476,2.23588,0.00120034,0.00120034,0.00120034
3,5831.87,1.86346,2.21764,1.93858,0.38965,0.40845,0.29715,0.1231,1.93523,2.29196,2.08959,0.00160311,0.00160311,0.00160311
4,7996.96,1.81242,2.11075,1.89419,0.38402,0.39085,0.33751,0.15172,1.93534,2.20501,2.07234,0.001406,0.001406,0.001406
5,10173.1,1.74322,1.99633,1.82992,0.42084,0.40845,0.34766,0.15875,1.83914,2.21656,2.02084,0.001208,0.001208,0.001208
6,12348.6,1.70196,1.91207,1.79236,0.49914,0.4632,0.41714,0.21317,1.71825,1.89596,1.89107,0.00101,0.00101,0.00101
7,14528.5,1.65407,1.82816,1.7432,0.42523,0.44014,0.38001,0.20056,1.66142,2.00703,1.81812,0.000812,0.000812,0.000812
8,16705.6,1.61829,1.77187,1.71502,0.45406,0.5,0.44518,0.25146,1.67509,1.80776,1.83261,0.000614,0.000614,0.000614
9,18885.9,1.57778,1.70112,1.6775,0.54132,0.47535,0.47399,0.27936,1.49516,1.70778,1.65832,0.000416,0.000416,0.000416
10,21065.6,1.5289,        1.64728,       1.64008,       0.49306,            0.49296,            0.47771,        0.28004,            1.51519,       1.6723,      1.711,     0.000218,0.000218,0.000218
